species_or_node,posterior_mean
Sp1.Node59,0.270030108134869
Sp1.Veronica fruticans,0.268203396493413
Sp1.Viola stagnina,0.267673221682604
Sp1.Veronica hederifolia,0.266335332662637
Sp1.Salix alba,0.26498995722779
Sp1.Node566,0.263276353192624
Sp1.Node284,0.262672353453619
Sp1.Centaurium portense,0.262138677069493
Sp1.Alisma gramineum,0.261495677444424
Sp1.Triglochin maritima,0.26079128780196
Sp1.Papaver somniferum,0.260771520725786
Sp1.Node581,0.260739334094498
Sp1.Salix pentandra,0.260579471208989
Sp1.Node1104,0.259505041514805
Sp1.Fallopia convolvulus,0.256621998054862
Sp1.Viola palustris,0.25257130894873
Sp1.Centaurium tenuiflorum,0.250860841473356
Sp1.Node504,0.249463615523668
Sp1.Veronica arvensis,0.248712007507423
Sp1.Node567,0.247535132436682
Sp1.Node1078,0.243543061283674
Sp1.Malva moschata,0.242442095266636
Sp1.Veronica verna,0.239994048255391
Sp1.Triglochin palustris,0.237649143817544
Sp1.Sparganium emersum,0.234424479983005
Sp1.Juncus inflexus,0.232741246085481
Sp1.Najas flexilis,0.232336519571606
Sp1.Veronica chamaedrys,0.229417736725565
Sp1.Sparganium angustifolium,0.229372041705703
Sp1.Node1032,0.229156515295086
Sp1.Node1029,0.225329095153061
Sp1.Node1075,0.22472896001348
Sp1.Node1074,0.22436042603587
Sp1.Najas marina,0.223042761190143
Sp1.Node1065,0.220827337754057
Sp1.Ajuga reptans,0.21528046080267
Sp1.Node473,0.213414383143861
Sp1.Node568,0.212932411889117
Sp1.Ajuga pyramidalis,0.212647107555488
Sp1.Epipactis palustris,0.209812559753254
Sp1.Puccinellia distans,0.20348221695846
Sp1.Juncus effusus,0.202132411432826
Sp1.Veronica scutellata,0.197915507528723
Sp1.Mentha suaveolens,0.191206854746968
Sp1.Mentha spicata,0.191200099845451
Sp1.Node543,0.190529625629573
Sp1.Node1031,0.190476024405013
Sp1.Mentha aquatica,0.190170150412257
Sp1.Puccinellia rupestris,0.189487228945208
Sp1.Mentha arvensis,0.188068130297561
Sp1.Node1020,0.187557024981243
Sp1.Node496,0.187257668908859
