Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Taxus baccata,Taxus baccata,Taxus baccata,,,,P,2cd4p9h.9b7,,L.,Yew,,,,confirmed,b,Taxus baccata,Vas_2039,NBNSYS0000004638,species,,N,N,Taxus,Taxaceae,Taxus baccata f. baccata;Taxus baccata f. dovastonii;Taxus baccata f. fasciculata;Taxus baccata 'Hibernica';Taxus baccata 'Aurea';Taxus baccata 'Elegantissima';Taxus baccata 'Fastigiata';Taxus baccata group 'Aurea';Taxus baccata group 'Fastigiata Aurea';Taxus baccata 'Dovastonia';Taxus baccata 'Dovastonii Aurea';Taxus baccata 'Adpressa';Taxus baccata 'Adpressa Variegata';Taxus baccata 'Lutea';Taxus baccata 'Fastigiata Aureomarginata',Taxus baccata f. baccata L.;Taxus baccata f. dovastonii;Taxus baccata f. fasciculata (Lindl.) Pilger;Taxus baccata 'Hibernica';Taxus baccata 'Aurea';Taxus baccata 'Elegantissima';Taxus baccata 'Fastigiata';Taxus baccata group 'Aurea';Taxus baccata group 'Fastigiata Aurea';Taxus baccata 'Dovastonia';Taxus baccata 'Dovastonii Aurea';Taxus baccata 'Adpressa';Taxus baccata 'Adpressa Variegata';Taxus baccata 'Lutea';Taxus baccata 'Fastigiata Aureomarginata',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.9b7&class=TaxonInstance,
Teesdalia nudicaulis,Teesdalia nudicaulis,Teesdalia nudicaulis,,,,A,2cd4p9h.240,,(L.) W.T.Aiton,Shepherd's Cress,,,,unchecked,b,Teesdalia nudicaulis,Vas_2041,NHMSYS0000464359,species,,N,N,Teesdalia,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.240&class=TaxonInstance,
Tephroseris palustris,Tephroseris palustris,Tephroseris palustris,,,,P,2cd4p9h.20g,,(L.) Fourr.,Marsh Fleawort,,,,unchecked,b,Tephroseris palustris,Vas_1893,NBNSYS0000004379,species,,N,N,Tephroseris,Asteraceae,Tephroseris palustris subsp. congesta,Tephroseris palustris subsp. congesta (R.Br.) Holub,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.20g&class=TaxonInstance,
Teucrium chamaedrys,Teucrium chamaedrys,Teucrium chamaedrys,,,,P,2cd4p9h.fsq,,L.,Wall Germander,,,,unchecked,b,Teucrium chamaedrys,Vas_2044,NBNSYS0000004264,species,,N,Ne,Teucrium,Lamiaceae,,,native or alien,alien,native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.fsq&class=TaxonInstance,
Teucrium scordium,Teucrium scordium,Teucrium scordium,2,32,17,P,2cd4p9h.p7s,,L.,Water Germander,,,,unchecked,b,Teucrium scordium,Vas_2045,NBNSYS0000004265,species,,N,N,Teucrium,Lamiaceae,Teucrium scordium var. dunense;Teucrium scordium var. scordium,Teucrium scordium var. dunense Druce;Teucrium scordium var. scordium L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.p7s&class=TaxonInstance,
Teucrium scorodonia,Teucrium scorodonia,Teucrium scorodonia,2,34,17,P,2cd4p9h.246,,L.,Wood Sage,,,,unchecked,b,Teucrium scorodonia,Vas_2046,NBNSYS0000004267,species,,N,N,Teucrium,Lamiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.246&class=TaxonInstance,
Thalictrum alpinum,Thalictrum alpinum,Thalictrum alpinum,2,14,7,P,2cd4p9h.9bg,,L.,Alpine Meadow-rue,,,,confirmed,b,Thalictrum alpinum,Vas_2047,NBNSYS0000002745,species,,N,N,Thalictrum,Ranunculaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.9bg&class=TaxonInstance,
Thalictrum flavum,Thalictrum flavum,Thalictrum flavum,12,84,7,P,2cd4p9h.cmq,,L.,Common Meadow-rue,,,,confirmed,b,Thalictrum flavum,Vas_2048,NBNSYS0000002744,species,,N,N,Thalictrum,Ranunculaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cmq&class=TaxonInstance,
Thalictrum minus,Thalictrum minus,Thalictrum minus,6,42,7,P,2cd4p9h.p80,,L.,Lesser Meadow-rue,,,,confirmed,b,Thalictrum minus,Vas_2049,NBNSYS0000002746,species,,N,N,Thalictrum,Ranunculaceae,Thalictrum minus subsp. majus;Thalictrum minus subsp. saxatile;Thalictrum minus subsp. arenarium;Thalictrum minus subsp. minus,Thalictrum minus subsp. majus (Crantz) Hook.f.;Thalictrum minus subsp. saxatile DC. ex Ces.;Thalictrum minus subsp. arenarium (Butcher) A.R.Clapham;Thalictrum minus subsp. minus L.,native,native,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.p80&class=TaxonInstance,
Thelypteris palustris,Thelypteris confluens,Thelypteris palustris,,,,P,2cd4p9h.x78,,Schott,Marsh Fern,,,,confirmed,b,Thelypteris palustris,Vas_2052,NBNSYS0000002081,species,,N,N,Thelypteris,Thelypteridaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x78&class=TaxonInstance,
Thesium humifusum,Thesium humifusum,Thesium humifusum,4,26,7,P,2cd4p9h.5nn,,DC.,Bastard-toadflax,,,,unchecked,b,Thesium humifusum,Vas_2055,NBNSYS0000003625,species,,N,N,Thesium,Santalaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5nn&class=TaxonInstance,
Thlaspi arvense,Thlaspi arvense,Thlaspi arvense,2,14,7,A,2cd4p9h.ft1,,L.,Field Penny-cress,,,,unchecked,b,Thlaspi arvense,Vas_2058,NBNSYS0000002841,species,,N,Ar,Thlaspi,Brassicaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.ft1&class=TaxonInstance,
Thlaspi caerulescens,Thlaspi caerulescens,Thlaspi caerulescens,2,14,7,P,2cd4p9h.w3n,,J.Presl & C.Presl,Alpine Penny-cress,Noccaea caerulescens,(J.Presl & C.Presl) F.K.Mey.,2cd4p9h.6yde2p,unchecked,b,Thlaspi caerulescens,Vas_2057,NHMSYS0000464422,species,,N,N,Thlaspi,Brassicaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.w3n&class=TaxonInstance,
Thlaspi perfoliatum,Thlaspi perfoliatum,Thlaspi perfoliatum,,,,A,2cd4p9h.p89,,L.,Perfoliate Penny-cress,Microthlaspi perfoliatum,(L.) F.K.Mey.,2cd4p9h.7mm3bn,unchecked,b,Thlaspi perfoliatum,Vas_2059,NBNSYS0000002843,species,,N,N,Thlaspi,Brassicaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.p89&class=TaxonInstance,
Thymus drucei,Thymus praecox,Thymus polytrichus,,,,P,2cd4p9h.p8c,,A.Kern. ex Borbás,Wild Thyme,,,,unchecked,b,Thymus polytrichus,Vas_2060,NHMSYS0000464447,species,,N,N,Thymus,Lamiaceae,Thymus polytrichus subsp. ligusticus;Thymus polytrichus subsp. britannicus;Thymus polytrichus var. britannicus;Thymus polytrichus var. drucei;Thymus polytrichus var. neglectus;Thymus polytrichus var. zetlandicus,Thymus polytrichus subsp. ligusticus (Briq.) Stace;Thymus polytrichus subsp. britannicus (Ronniger) Kerguélen;Thymus polytrichus var. britannicus (Ronniger) P.D.Sell;Thymus polytrichus var. drucei (Ronniger) P.D.Sell;Thymus polytrichus var. neglectus (Ronniger) P.D.Sell;Thymus polytrichus var. zetlandicus (Ronniger & Druce) P.D.Sell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.p8c&class=TaxonInstance,
Thymus pulegioides,Thymus pulegioides,Thymus pulegioides,4,28,7,P,2cd4p9h.5nt,,L.,Large Thyme,,,,unchecked,b,Thymus pulegioides,Vas_2061,NBNSYS0000004208,species,,N,N,Thymus,Lamiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5nt&class=TaxonInstance,
Thymus serpyllum,Thymus serpyllum,Thymus serpyllum,,,,P,2cd4p9h.cmt,,L.,Breckland Thyme,,,,unchecked,b,Thymus serpyllum,Vas_2062,NBNSYS0000004209,species,,N,N,Thymus,Lamiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cmt&class=TaxonInstance,
Tilia cordata,Tilia cordata,Tilia cordata,2,82,41,P,2cd4p9h.w3q,,Mill.,Small-leaved Lime,,,,unchecked,b,Tilia cordata,Vas_2063,NHMSYS0000464454,species,,N,N,Tilia,Malvaceae,Tilia cordata 'Greenspire';Tilia cordata 'Westonbirt Dainty Leaf';Tilia cordata 'Rancho',Tilia cordata 'Greenspire';Tilia cordata 'Westonbirt Dainty Leaf';Tilia cordata 'Rancho',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.w3q&class=TaxonInstance,
Tilia platyphyllos,Tilia platyphyllos,Tilia platyphyllos,2,82,41,P,2cd4p9h.ft4,,Scop.,Large-leaved Lime,,,,unchecked,b,Tilia platyphyllos,Vas_2064,NBNSYS0000003127,species,,N,N,Tilia,Malvaceae,Tilia platyphyllos subsp. cordifolia;Tilia platyphyllos 'Asplenifolia';Tilia platyphyllos subsp. platyphyllos;Tilia platyphyllos 'Pendula';Tilia platyphyllos 'Rubra';Tilia platyphyllos 'Fastigiata';Tilia platyphyllos 'Laciniata',Tilia platyphyllos subsp. cordifolia (Besser) C.K.Schneid.;Tilia platyphyllos 'Asplenifolia';Tilia platyphyllos subsp. platyphyllos Scop.;Tilia platyphyllos 'Pendula';Tilia platyphyllos 'Rubra';Tilia platyphyllos 'Fastigiata';Tilia platyphyllos 'Laciniata',native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.ft4&class=TaxonInstance,
Tofieldia pusilla,Tofieldia pusilla,Tofieldia pusilla,2,30,15,P,2cd4p9h.24c,,(Michx.) Pers.,Scottish Asphodel,,,,confirmed,b,Tofieldia pusilla,Vas_2066,NHMSYS0000464469,species,,N,N,Tofieldia,Tofieldiaceae,Tofieldia pusilla subsp. pusilla,Tofieldia pusilla subsp. pusilla (Michx.) Pers.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.24c&class=TaxonInstance,
Torilis arvensis,Torilis arvensis,Torilis arvensis,2,12,6,A,2cd4p9h.cn4,,(Huds.) Link,Spreading Hedge-parsley,,,,unchecked,b,Torilis arvensis,Vas_2068,NHMSYS0000464491,species,,N,Ar,Torilis,Apiaceae,Torilis arvensis subsp. arvensis;Torilis arvensis subsp. neglecta,Torilis arvensis subsp. arvensis (Huds.) Link;Torilis arvensis subsp. neglecta (Schult.) Thell.,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.cn4&class=TaxonInstance,
Torilis japonica,Torilis japonica,Torilis japonica,3,16,6,A,2cd4p9h.p8v,,(Houtt.) DC.,Upright Hedge-parsley,,,,unchecked,b,Torilis japonica,Vas_2069,NBNSYS0000003646,species,,N,N,Torilis,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.p8v&class=TaxonInstance,
Torilis nodosa,Torilis nodosa,Torilis nodosa,2,24,11,A,2cd4p9h.p8x,,(L.) Gaertn.,Knotted Hedge-parsley,,,,unchecked,b,Torilis nodosa,Vas_2070,NHMSYS0000464493,species,,N,N,Torilis,Apiaceae,Torilis nodosa var. nodosa;Torilis nodosa var. nana,Torilis nodosa var. nodosa (L.) Gaertn.;Torilis nodosa var. nana Bréb.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.p8x&class=TaxonInstance,
Tragopogon pratensis,Tragopogon pratensis,Tragopogon pratensis,2,12,6,B,2cd4p9h.ft7,,L.,Goat's-beard,,,,unchecked,b,Tragopogon pratensis,Vas_2074,NBNSYS0000004527,species,,N,N,Tragopogon,Asteraceae,Tragopogon pratensis subsp. minor;Tragopogon pratensis subsp. orientalis;Tragopogon pratensis subsp. pratensis,Tragopogon pratensis subsp. minor (Mill.) Wahlenb.;Tragopogon pratensis subsp. orientalis (L.) Čelak.;Tragopogon pratensis subsp. pratensis L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ft7&class=TaxonInstance,
Trichomanes speciosum,Trichomanes speciosum,Trichomanes speciosum,,,,P,2cd4p9h.885,(gametophyte),,,,,,unchecked,b,Trichomanes speciosum,Vas_2075.1,NHMSYS0100003312,species,,,,Trichomanes,Hymenophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.885&class=TaxonInstance,
Trichophorum alpinum,Trichophorum alpinum,Trichophorum alpinum,,,,P,2cd4p9h.5xs,,(L.) Pers.,Cotton Deergrass,,,,confirmed,b,Trichophorum alpinum,Vas_1859,NBNSYS0000002377,species,,N,N,Trichophorum,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5xs&class=TaxonInstance,
Trichophorum cespitosum,Trichophorum cespitosum,Trichophorum cespitosum,,,,P,2cd4p9h.95p1tz,s.l.,,,,,,unchecked,b,Trichophorum cespitosum,Vas_1858,NHMSYS0021007976,species,,,,Trichophorum,Cyperaceae,Trichophorum cespitosum x germanicum = T. x foersteri;Trichophorum cespitosum s.s.;Trichophorum germanicum,Trichophorum cespitosum x germanicum = T. x foersteri (Swan) D.A.Simpson;Trichophorum cespitosum (L.) Hartm. s.s.;Trichophorum germanicum Palla,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.95p1tz&class=TaxonInstance,
Trichophorum germanicum,Trichophorum cespitosum,Trichophorum germanicum,,,,P,2cd4p9h.7mm654,,Palla,Deergrass,,,,confirmed,b,Trichophorum germanicum,Vas_1858.2,NHMSYS0100003134,species,,,,Trichophorum,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.7mm654&class=TaxonInstance,
Lysimachia europaea,Lysimachia europaea,Trientalis europaea,,,,P,2cd4p9h.w47,,L.,Chickweed-wintergreen,,,,unchecked,b,Trientalis europaea,Vas_2076,NBNSYS0000003941,species,,N,N,Trientalis,Primulaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.w47&class=TaxonInstance,
Trifolium arvense,Trifolium arvense,Trifolium arvense,2,14,7,A,2cd4p9h.fta,,L.,Hare's-foot Clover,,,,confirmed,b,Trifolium arvense,Vas_2077,NBNSYS0000003238,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.fta&class=TaxonInstance,
Trifolium bocconei,Trifolium bocconei,Trifolium bocconei,,,,A,2cd4p9h.5ya,,Savi,Twin-headed Clover,,,,confirmed,b,Trifolium bocconei,Vas_2079,NBNSYS0000003241,species,,N,N,Trifolium,Fabaceae,Trifolium bocconei var. semiglabrum,Trifolium bocconei var. semiglabrum (Brot.) Merino,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5ya&class=TaxonInstance,
Trifolium campestre,Trifolium campestre,Trifolium campestre,2,14,7,A,2cd4p9h.ftd,,Schreb.,Hop Trefoil,,,,confirmed,b,Trifolium campestre,Vas_2080,NHMSYS0000464564,species,,N,N,Trifolium,Fabaceae,Trifolium campestre var. campestre;Trifolium campestre var. majus;Trifolium campestre var. minus,Trifolium campestre var. campestre Schreb.;Trifolium campestre var. majus (W.D.J.Koch) P.D.Sell;Trifolium campestre var. minus (W.D.J.Koch) Gremli,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ftd&class=TaxonInstance,
Trifolium dubium,Trifolium dubium,Trifolium dubium,5,32,7,A,2cd4p9h.5yd,,Sibth.,Lesser Trefoil,,,,confirmed,b,Trifolium dubium,Vas_2081,NBNSYS0000003252,species,,N,N,Trifolium,Fabaceae,Trifolium dubium var. dubium;Trifolium dubium var. microphyllum,Trifolium dubium var. dubium Sibth.;Trifolium dubium var. microphyllum (Ser.) P.D.Sell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5yd&class=TaxonInstance,
Trifolium fragiferum,Trifolium fragiferum,Trifolium fragiferum,2,16,8,P,2cd4p9h.ftg,,L.,Strawberry Clover,,,,confirmed,b,Trifolium fragiferum,Vas_2083,NBNSYS0000003248,species,,N,N,Trifolium,Fabaceae,Trifolium fragiferum subsp. bonannii;Trifolium fragiferum subsp. fragiferum,Trifolium fragiferum subsp. bonannii (C.Presl) Soják;Trifolium fragiferum subsp. fragiferum L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ftg&class=TaxonInstance,
Trifolium glomeratum,Trifolium glomeratum,Trifolium glomeratum,2,16,8,A,2cd4p9h.w4a,,L.,Clustered Clover,,,,confirmed,b,Trifolium glomeratum,Vas_2084,NBNSYS0000003244,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.w4a&class=TaxonInstance,
Trifolium medium,Trifolium medium,Trifolium medium,10,80,8,P,2cd4p9h.p92,,L.,Zigzag Clover,,,,confirmed,b,Trifolium medium,Vas_2087,NBNSYS0000003233,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.p92&class=TaxonInstance,
Trifolium micranthum,Trifolium micranthum,Trifolium micranthum,,,,A,2cd4p9h.ftw,,Viv.,Slender Trefoil,,,,confirmed,b,Trifolium micranthum,Vas_2088,NBNSYS0000003253,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ftw&class=TaxonInstance,
Trifolium occidentale,Trifolium repens,Trifolium occidentale,,,,P,2cd4p9h.cpn,,Coombe,Western Clover,,,,confirmed,b,Trifolium occidentale,Vas_2268,NBNSYS0000003254,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cpn&class=TaxonInstance,
Trifolium ochroleucon,Trifolium ochroleucon,Trifolium ochroleucon,,,,P,2cd4p9h.24y,,Huds.,Sulphur Clover,,,,confirmed,b,Trifolium ochroleucon,Vas_2090,NHMSYS0000464580,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.24y&class=TaxonInstance,
Trifolium ornithopodioides,Trifolium ornithopodioides,Trifolium ornithopodioides,3,18,6,A,2cd4p9h.p98,,L.,Bird's-foot Clover,,,,confirmed,b,Trifolium ornithopodioides,Vas_2103,NBNSYS0000003230,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.p98&class=TaxonInstance,
Trifolium pratense,Trifolium pratense,Trifolium pratense,2,14,7,P,2cd4p9h.cna,,L.,Red Clover,,,,confirmed,b,Trifolium pratense,Vas_2091,NBNSYS0000003231,species,,N,N,Trifolium,Fabaceae,Trifolium pratense var. americanum;Trifolium pratense var. parviflorum;Trifolium pratense var. villosum;Trifolium pratense var. sativum;Trifolium pratense 'Merviot';Trifolium pratense var. pratense,Trifolium pratense var. americanum Harz;Trifolium pratense var. parviflorum Bab.;Trifolium pratense var. villosum Wahlb.;Trifolium pratense var. sativum Schreb.;Trifolium pratense 'Merviot';Trifolium pratense var. pratense L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cna&class=TaxonInstance,
Trifolium repens,Trifolium repens,Trifolium repens,,,,P,2cd4p9h.m5y,,L.,White Clover,,,,confirmed,b,Trifolium repens,Vas_2092,NBNSYS0000003247,species,,N,N,Trifolium,Fabaceae,Trifolium repens var. repens;Trifolium repens var. carneum;Trifolium repens var. grandiflorum;Trifolium repens 'Alice';Trifolium repens 'Purpurascens';Trifolium repens 'Atropurpureum';Trifolium repens var. townsendii,Trifolium repens var. repens L.;Trifolium repens var. carneum Gray;Trifolium repens var. grandiflorum Peterm.;Trifolium repens 'Alice';Trifolium repens 'Purpurascens';Trifolium repens 'Atropurpureum';Trifolium repens var. townsendii Beeby,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.m5y&class=TaxonInstance,
Trifolium scabrum,Trifolium scabrum,Trifolium scabrum,2,10,5,A,2cd4p9h.w4d,,L.,Rough Clover,,,,confirmed,b,Trifolium scabrum,Vas_2094,NBNSYS0000003240,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.w4d&class=TaxonInstance,
Trifolium squamosum,Trifolium squamosum,Trifolium squamosum,,,,A,2cd4p9h.w4g,,L.,Sea Clover,,,,confirmed,b,Trifolium squamosum,Vas_2095,NBNSYS0000003234,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.w4g&class=TaxonInstance,
Trifolium striatum,Trifolium striatum,Trifolium striatum,2,14,7,A,2cd4p9h.cnd,,L.,Knotted Clover,,,,confirmed,b,Trifolium striatum,Vas_2097,NBNSYS0000003239,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cnd&class=TaxonInstance,
Trifolium strictum,Trifolium strictum,Trifolium strictum,,,,A,2cd4p9h.ns0,,L.,Upright Clover,,,,confirmed,b,Trifolium strictum,Vas_2098,NBNSYS0000003243,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ns0&class=TaxonInstance,
Trifolium subterraneum,Trifolium subterraneum,Trifolium subterraneum,2,16,8,A,2cd4p9h.w4w,,L.,Subterranean Clover,,,,confirmed,b,Trifolium subterraneum,Vas_2099,NBNSYS0000003242,species,,N,N,Trifolium,Fabaceae,Trifolium subterraneum var. subterraneum;Trifolium subterraneum var. oxaloides,Trifolium subterraneum var. subterraneum L.;Trifolium subterraneum var. oxaloides (Bunge ex Nyman) Rouy,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.w4w&class=TaxonInstance,
Trifolium suffocatum,Trifolium suffocatum,Trifolium suffocatum,,,,A,2cd4p9h.24r,,L.,Suffocated Clover,,,,confirmed,b,Trifolium suffocatum,Vas_2100,NBNSYS0000003245,species,,N,N,Trifolium,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.24r&class=TaxonInstance,
Triglochin maritima,Triglochin maritima,Triglochin maritima,8,48,6,P,2cd4p9h.m5z,,L.,Sea Arrowgrass,,,,confirmed,b,Triglochin maritima,Vas_2101,NBNSYS0000158561,species,,N,N,Triglochin,Juncaginaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.m5z&class=TaxonInstance,
Triglochin palustris,Triglochin palustris,Triglochin palustre,4,24,6,P,2cd4p9h.7ph08m,,L.,,Triglochin palustris,L.,2cd4p9h.cnw,unchecked,b,Triglochin palustre,Vas_2102,NBNSYS0000002120,species,,,,Triglochin,Juncaginaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.7ph08m&class=TaxonInstance,
Trinia glauca,Trinia glauca,Trinia glauca,,,,B,2cd4p9h.m65,,(L.) Dumort.,Honewort,,,,unchecked,b,Trinia glauca,Vas_2104,NBNSYS0000003662,species,,N,N,Trinia,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.m65&class=TaxonInstance,
Tripleurospermum inodorum,Tripleurospermum inodorum,Tripleurospermum inodorum,2,18,9,A,2cd4p9h.ffy,,(L.) Sch.Bip.,Scentless Mayweed,,,,unchecked,b,Tripleurospermum inodorum,Vas_1241.1,NHMSYS0000464606,species,,N,Ar,Tripleurospermum,Asteraceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.ffy&class=TaxonInstance,
Tripleurospermum maritimum,Tripleurospermum maritimum,Tripleurospermum maritimum,2,18,9,A,2cd4p9h.ffr,s.s.,(L.) W.D.J.Koch,Sea Mayweed,,,,unchecked,b,Tripleurospermum maritimum,Vas_1241.3,NHMSYS0000464607,species,,N,N,Tripleurospermum,Asteraceae,Tripleurospermum maritimum subsp. nigriceps;Tripleurospermum maritimum subsp. vinicaule;Tripleurospermum maritimum subsp. maritimum,Tripleurospermum maritimum subsp. nigriceps P.D.Sell;Tripleurospermum maritimum subsp. vinicaule P.D.Sell;Tripleurospermum maritimum subsp. maritimum (L.) W.D.J.Koch,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ffr&class=TaxonInstance,
Tripleurospermum maritimum,Tripleurospermum maritimum,Tripleurospermum maritimum,2,18,9,P,2cd4p9h.ffr,s.s.,(L.) W.D.J.Koch,Sea Mayweed,,,,unchecked,b,Tripleurospermum maritimum,Vas_1241.3,NHMSYS0000464607,species,,N,N,Tripleurospermum,Asteraceae,Tripleurospermum maritimum subsp. nigriceps;Tripleurospermum maritimum subsp. vinicaule;Tripleurospermum maritimum subsp. maritimum,Tripleurospermum maritimum subsp. nigriceps P.D.Sell;Tripleurospermum maritimum subsp. vinicaule P.D.Sell;Tripleurospermum maritimum subsp. maritimum (L.) W.D.J.Koch,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ffr&class=TaxonInstance,
Trisetum flavescens,Trisetum flavescens,Trisetum flavescens,4,28,7,P,2cd4p9h.252,,(L.) P.Beauv.,Yellow Oat-grass,,,,confirmed,b,Trisetum flavescens,Vas_2105,NHMSYS0000464618,species,,N,N,Trisetum,Poaceae,Trisetum flavescens subsp. flavescens;Trisetum flavescens subsp. purpurascens,Trisetum flavescens subsp. flavescens (L.) P.Beauv.;Trisetum flavescens subsp. purpurascens (DC.) Arcang.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.252&class=TaxonInstance,
Trollius europaeus,Trollius europaeus,Trollius europaeus,,,,P,2cd4p9h.cnp,,L.,Globeflower,,,,confirmed,b,Trollius europaeus,Vas_2106,NBNSYS0000002692,species,,N,N,Trollius,Ranunculaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cnp&class=TaxonInstance,
Tuberaria guttata,Tuberaria guttata,Tuberaria guttata,,,,A,2cd4p9h.8yw,,(L.) Fourr.,Spotted Rock-rose,,,,unchecked,b,Tuberaria guttata,Vas_956,NBNSYS0000002971,species,,N,N,Tuberaria,Cistaceae,Tuberaria guttata subsp. guttata;Tuberaria guttata subsp. breweri,Tuberaria guttata subsp. guttata (L.) Fourr.;Tuberaria guttata subsp. breweri (Planch.) E.F.Warb.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8yw&class=TaxonInstance,
Tussilago farfara,Tussilago farfara,Tussilago farfara,2,60,30,P,2cd4p9h.258,,L.,Colt's-foot,,,,unchecked,b,Tussilago farfara,Vas_2109,NBNSYS0000004386,species,,N,N,Tussilago,Asteraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.258&class=TaxonInstance,
Typha angustifolia,Typha angustifolia,Typha angustifolia,,,,P,2cd4p9h.25e,,L.,Lesser Bulrush,,,,confirmed,b,Typha angustifolia,Vas_2110,NBNSYS0000002370,species,,N,N,Typha,Typhaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.25e&class=TaxonInstance,
Typha latifolia,Typha latifolia,Typha latifolia,2,30,15,P,2cd4p9h.9bp,,L.,Bulrush,,,,confirmed,b,Typha latifolia,Vas_2111,NBNSYS0000002369,species,,N,N,Typha,Typhaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.9bp&class=TaxonInstance,
