Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Cerastium diffusum,Cerastium diffusum,Cerastium diffusum,,,,A,2cd4p9h.f4n,,Pers.,Sea Mouse-ear,,,,unchecked,b,Cerastium diffusum,Vas_462,NBNSYS0000003025,species,,N,N,Cerastium,Caryophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f4n&class=TaxonInstance,
Cerastium fontanum,Cerastium fontanum,Cerastium fontanum,,,,P,2cd4p9h.bqk,,Baumg.,Common Mouse-ear,,,,unchecked,b,Cerastium fontanum,Vas_467,NBNSYS0000003022,species,,N,N,Cerastium,Caryophyllaceae,Cerastium fontanum subsp. vulgare;Cerastium fontanum subsp. scoticum;Cerastium fontanum subsp. holosteoides,"Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet;Cerastium fontanum subsp. scoticum Jalas & P.D.Sell;Cerastium fontanum subsp. holosteoides (Fr.) Salman, Ommering & de Voogd",native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bqk&class=TaxonInstance,
Cerastium glomeratum,Cerastium glomeratum,Cerastium glomeratum,,,,A,2cd4p9h.8gc,,Thuill.,Sticky Mouse-ear,,,,unchecked,b,Cerastium glomeratum,Vas_466,NBNSYS0000003023,species,,N,N,Cerastium,Caryophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8gc&class=TaxonInstance,
Cerastium nigrescens,Cerastium nigrescens,Cerastium nigrescens,12,108,9,P,2cd4p9h.xg2,,(H.C.Watson) Edmondston ex H.C.Watson,Arctic Mouse-ear,,,,unchecked,b,Cerastium nigrescens,Vas_465.1,NHMSYS0000457073,species,,N,N,Cerastium,Caryophyllaceae,Cerastium nigrescens var. nigrescens;Cerastium nigrescens var. alpinopilosum;Cerastium nigrescens var. laxum,Cerastium nigrescens var. nigrescens (H.C.Watson) Edmondston ex H.C.Watson;Cerastium nigrescens var. alpinopilosum Hultén;Cerastium nigrescens var. laxum (Lindblom) Brysting & Elven.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xg2&class=TaxonInstance,
Cerastium pumilum,Cerastium pumilum,Cerastium pumilum,,,,A,2cd4p9h.bqn,,Curtis,Dwarf Mouse-ear,,,,unchecked,b,Cerastium pumilum,Vas_468,NBNSYS0000003026,species,,N,N,Cerastium,Caryophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bqn&class=TaxonInstance,
Cerastium semidecandrum,Cerastium semidecandrum,Cerastium semidecandrum,,,,A,2cd4p9h.xg5,,L.,Little Mouse-ear,,,,unchecked,b,Cerastium semidecandrum,Vas_469,NBNSYS0000003027,species,,N,N,Cerastium,Caryophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xg5&class=TaxonInstance,
Ceratocapnos claviculata,Ceratocapnos claviculata,Ceratocapnos claviculata,,,,A,2cd4p9h.bs6,,(L.) Lidén,Climbing Corydalis,,,,confirmed,b,Ceratocapnos claviculata,Vas_555,NHMSYS0000457085,species,,N,N,Ceratocapnos,Papaveraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bs6&class=TaxonInstance,
Ceratophyllum demersum,Ceratophyllum demersum,Ceratophyllum demersum,,,,P,2cd4p9h.bqt,,L.,Rigid Hornwort,,,,confirmed,b,Ceratophyllum demersum,Vas_471,NBNSYS0000002761,species,,N,N,Ceratophyllum,Ceratophyllaceae,Ceratophyllum demersum var. demersum;Ceratophyllum demersum var. apiculatum;Ceratophyllum demersum var. inerme,Ceratophyllum demersum var. demersum L.;Ceratophyllum demersum var. apiculatum (Cham.) Asch.;Ceratophyllum demersum var. inerme J.Gay ex Radcl.-Sm.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bqt&class=TaxonInstance,
Ceratophyllum submersum,Ceratophyllum submersum,Ceratophyllum submersum,,,,P,2cd4p9h.f4t,,L.,Soft Hornwort,,,,confirmed,b,Ceratophyllum submersum,Vas_472,NBNSYS0000002762,species,,N,N,Ceratophyllum,Ceratophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f4t&class=TaxonInstance,
Chaenorhinum minus,Chaenorhinum minus,Chaenorhinum minus,2,14,7,A,2cd4p9h.f54,,(L.) Lange,Small Toadflax,,,,unchecked,b,Chaenorhinum minus,Vas_474,NBNSYS0000004072,species,,N,Ar,Chaenorhinum,Plantaginaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.f54&class=TaxonInstance,
